"","ï..fileNumber","fileName","dreamID","nCells","ground","rec","pred","pred_adj"
"11",19,"s14_c4_data",11,7,"((1_2110101021:84,(2_2112111021:31,3_2112111021:31):53):47,((4_2112111000:23,5_2102111000:23):63,(6_2102111000:30,7_2102111000:30):56):45);","(1_2110101021:0.7351593147,((2_2112111021:0.2956828968,3_2112111021:0.2956828968):0.2726043572,(4_2112111000:0.3544755352,(5_2102111000:0.2914019896,(6_2102111000:0.2914019896,7_2102111000:0.2914019896):0):0.06307354556):0.2138117188):0.1668720607);","((4_2112111000:0.5,(7_2102111000:0,(5_2102111000:0,6_2102111000:0):0):0.5):2.055,(1_2110101021:1.635,(2_2112111021:0,3_2112111021:0):1.635):0.92);","((4_2112111000:4.8917195,(7_2102111000:0,(5_2102111000:0,6_2102111000:0):0):4.8917195):18.13559319,(1_2110101021:14.26465949,(2_2112111021:0,3_2112111021:0):14.26465949):8.762653205);"
"12",20,"s14_c5_data",12,25,"((((1_2100101000:17,2_2100101000:17):41,(3_2100101000:15,4_2101101000:15):43):122,((((5_2100121000:18,6_2100121000:18):34,(7_2100121000:15,8_2000120000:15):37):46,((9_2122211121:8,10_2122111121:8):44,(11_2122111021:12,12_2112112021:12):40):46):44,((13_0112211200:59,(14_0112011200:14,15_0112011200:14):45):48,((16_2100111000:10,17_2100101000:10):52,19_2100101000:62):45):35):38):30,(((20_0112211200:18,21_0111011000:18):48,(22_2121101100:15,23_2121101100:15):51):112,((24_2110101000:15,25_2110101000:15):52,26_2210100001:67):111):33);","(((21_0111011000:68.75,((13_0112211200:22.91666667,20_0112211200:22.91666667)1:22.91666667,(14_0112011200:22.91666667,15_0112011200:22.91666667)2:22.91666667)2:22.91666667)1:22.91666667,((8_2000120000:62.5,(7_2100121000:41.66666667,(5_2100121000:20.83333333,6_2100121000:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((22_2121101100:37.5,23_2121101100:37.5)1:37.5,(26_2210100001:66.66666667,((24_2110101000:29.16666667,25_2110101000:29.16666667)1:29.16666667,(4_2101101000:50,(16_2100111000:41.66666667,(19_2100101000:33.33333333,(17_2100101000:25,(3_2100101000:16.66666667,(1_2100101000:8.333333333,2_2100101000:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)1:8.333333333,(12_2112112021:75,(11_2122111021:50,(9_2122211121:25,10_2122111121:25)2:25)2:25)2:25)Root;","((12_2112112021:1.815,(9_2122211121:0.885,(10_2122111121:0.5,11_2122111021:0.5):0.385):0.93):2.872559524,((21_0111011000:2.3375,((13_0112211200:0,20_0112211200:0):1.135,(14_0112011200:0,15_0112011200:0):1.135):1.2025):2.2265625,((22_2121101100:0,23_2121101100:0):2.540357143,(26_2210100001:2.484230769,(((24_2110101000:0,25_2110101000:0):0.6428571429,(16_2100111000:0.5833333333,(4_2101101000:0.5,(19_2100101000:0,(17_2100101000:0,(3_2100101000:0,(1_2100101000:0,2_2100101000:0):0):0):0):0.5):0.08333333333):0.05952380952):0.8532539683,(8_2000120000:1,(7_2100121000:0,(5_2100121000:0,6_2100121000:0):0):1):0.4961111111):0.9881196581):0.05612637363):2.023705357):0.1234970238);","(26_2210100001:62.64073696,(8_2000120000:56.75361606,((12_2112112021:22.74101575,(9_2122211121:7.766525565,(10_2122111121:3.186722,11_2122111021:3.186722):4.579803565):14.97449019):19.84285707,((21_0111011000:17.26637646,((13_0112211200:0,20_0112211200:0):11.03392407,(14_0112011200:0,15_0112011200:0):11.03392407):6.232452393):21.09627428,((22_2121101100:0,23_2121101100:0):20.76586571,((7_2100121000:0,(5_2100121000:0,6_2100121000:0):0):14.85329354,(16_2100111000:7.860922813,((24_2110101000:0,25_2110101000:0):5.484312083,(4_2101101000:3.5555555,(19_2100101000:0,(17_2100101000:0,(3_2100101000:0,(1_2100101000:0,2_2100101000:0):0):0):0):3.5555555):1.928756583):2.376610729):6.992370727):5.912572166):17.59678503):4.221222082):14.16974324):5.887120896);"
"13",21,"s14_c6_data",13,11,"((((1_2100101100:4,2_1101021101:4):39,3_2121121101:44):55,(4_0001200201:37,(5_1110001201:1,6_1110001201:1):35):62):56,(((7_2102211221:8,8_2112111221:8):36,(9_2102111221:12,10_2102111221:12):32):50,14_2100101000:94):60);","(((4_0001200201:50,(5_1110001201:25,6_1110001201:25)2:25)1:25,((1_2100101100:25,14_2100101000:25)1:25,(2_1101021101:25,3_2121121101:25)2:25)2:25)1:25,(8_2112111221:75,(7_2102211221:50,(9_2102111221:25,10_2102111221:25)2:25)2:25)2:25)Root;","(4_0001200201:4.6685,((7_2102211221:0.8016666667,(8_2112111221:0.5,(9_2102111221:0,10_2102111221:0):0.5):0.3016666667):3.602083333,((2_1101021101:2.27,3_2121121101:2.27):1.1925,((5_1110001201:0,6_1110001201:0):3.02,(1_2100101100:0.5,14_2100101000:0.5):2.52):0.4425):0.94125):0.26475);","(4_0001200201:64.1360175,((7_2102211221:7.803737732,(8_2112111221:4.8917195,(9_2102111221:0,10_2102111221:0):4.8917195):2.912018232):28.74325181,((2_1101021101:21.87623555,3_2121121101:21.87623555):13.49704179,((5_1110001201:0,6_1110001201:0):29.30424972,(1_2100101100:3.186722,14_2100101000:3.186722):26.11752772):6.069027615):1.173712201):27.58902796);"
"14",23,"s15_c2_data",14,19,"((((1_1111001011:41,2_1111101001:41):65,(3_2111101221:45,4_2112111201:45):61):60,(((5_1101001221:4,6_1111001001:4):51,(7_2111101221:2,8_2111101201:2):53):54,((9_2222112101:8,10_2222112101:8):52,(11_2212110000:6,12_2202110000:6):54):49):56):41,((13_2110101001:79,(14_0110201001:16,15_0110201001:16):62):78,((16_2100101000:28,17_1111001001:28):59,(18_2112111000:27,19_2100101000:27):60):69):51);","((((9_2222112101:31.25,10_2222112101:31.25)1:31.25,(18_2112111000:41.66666667,(11_2212110000:20.83333333,12_2202110000:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((2_1111101001:50,(1_1111001011:33.33333333,(6_1111001001:16.66666667,17_1111001001:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((14_0110201001:25,15_0110201001:25)1:25,(13_2110101001:33.33333333,(16_2100101000:16.66666667,19_2100101000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((4_2112111201:37.5,8_2111101201:37.5)1:37.5,(5_1101001221:50,(3_2111101221:25,7_2111101221:25)2:25)2:25)2:25)Root;","(((9_2222112101:0,10_2222112101:0):2.981666667,(18_2112111000:1.385,(11_2212110000:0.5,12_2202110000:0.5):0.885):1.596666667):1.280761905,(((13_2110101001:1,(16_2100101000:0,19_2100101000:0):1):1.346666667,((14_0110201001:0,15_0110201001:0):2.135,(2_1111101001:0.6666666667,(1_1111001011:0.5,(6_1111001001:0,17_1111001001:0):0.5):0.1666666667):1.468333333):0.2116666667):1.074,(5_1101001221:2.48625,(4_2112111201:1.891666667,(8_2111101201:1.135,(3_2111101221:0,7_2111101221:0):1.135):0.7566666667):0.5945833333):0.9344166667):0.8417619048);","(((5_1101001221:21.64284607,(4_2112111201:15.11152836,(8_2111101201:6.60363657,(3_2111101221:0,7_2111101221:0):6.60363657):8.507891795):6.531317701):5.345451404,(((14_0110201001:0,15_0110201001:0):18.75610794,(2_1111101001:5.8304565,(1_1111001011:2.909091,(6_1111001001:0,17_1111001001:0):2.909091):2.9213655):12.92565144):6.876839571,(18_2112111000:20.19247249,(13_2110101001:12.8917195,(16_2100101000:0,19_2100101000:0):12.8917195):7.300752985):5.440475026):1.355349959):40.379277,((9_2222112101:0,10_2222112101:0):41.91291365,(11_2212110000:4.8917195,12_2202110000:4.8917195):37.02119415):25.45466083);"
"15",24,"s15_c3_data",15,5,"(((1_2102111000:49,2_1102211000:49):45,(3_1122211100:46,4_1102111200:46):48):46,8_1122211101:140);","(((1_2102111000:0.4008644524,2_1102211000:0.4008644524):0.05830767792,4_1102111200:0.4591721303):0.1808585462,(3_1122211100:0.3476358292,8_1122211101:0.3476358292):0.2923948473);","((3_1122211100:0.5,8_1122211101:0.5):2.065,(4_1102111200:1.77,(1_2102111000:1.27,2_1102211000:1.27):0.5):0.795);","((3_1122211100:8,8_1122211101:8):16.66359755,(4_1102111200:13.27607762,(1_2102111000:12.08443735,2_1102211000:12.08443735):1.191640265):11.38751994);"
"16",26,"s15_c5_data",16,10,"((3_0102011000:22,4_2102101000:22):121,(((5_2100111200:7,6_2102111201:7):40,(7_2102111201:13,8_2102111201:13):34):47,((9_2112111201:13,10_2112111201:13):34,(11_2112111001:13,12_2112111001:13):34):47):48);","((3_0102011000:50,4_2102101000:50)1:50,((11_2112111001:41.66666667,12_2112111001:41.66666667)1:41.66666667,(5_2100111200:66.66666667,((8_2102111201:33.33333333,(6_2102111201:16.66666667,7_2102111201:16.66666667)2:16.66666667)1:16.66666667,(9_2112111201:25,10_2112111201:25)2:25)2:16.66666667)2:16.66666667)2:16.66666667)Root;","(3_0102011000:3.184444444,(5_2100111200:2.310625,(4_2102101000:2.096428571,((11_2112111001:0,12_2112111001:0):1.435,((8_2102111201:0,(6_2102111201:0,7_2102111201:0):0):0.5,(9_2112111201:0,10_2112111201:0):0.5):0.935):0.6614285714):0.2141964286):0.8738194444);","((5_2100111200:20.93319611,((11_2112111001:0,12_2112111001:0):10.16889064,((8_2102111201:0,(6_2102111201:0,7_2102111201:0):0):4.8917195,(9_2112111201:0,10_2112111201:0):4.8917195):5.27717114):10.76430547):5.75700986,(3_0102011000:21.62012629,4_2102101000:21.62012629):5.070079686);"
"17",27,"s15_c6_data",17,12,"((((4_0201000021:16,5_0201000021:16):42,(6_0201000021:13,7_0201000021:13):45):44,(8_0100001012:53,9_0100001012:53):50):60,(((10_0102111000:6,11_0121201121:6):46,(12_0121201121:13,13_0121201121:13):39):53,(14_0100001000:13,15_0100001000:13):92):57);","(((7_0201000021:60,(6_0201000021:40,(4_0201000021:20,5_0201000021:20)2:20)2:20)1:20,(13_0121201121:53.33333333,(11_0121201121:26.66666667,12_0121201121:26.66666667)2:26.66666667)2:26.66666667)1:20,((8_0100001012:37.5,9_0100001012:37.5)1:37.5,(10_0102111000:50,(14_0100001000:25,15_0100001000:25)2:25)2:25)2:25)Root;","((13_0121201121:0,(11_0121201121:0,12_0121201121:0):0):4.394444444,((7_0201000021:0,(6_0201000021:0,(4_0201000021:0,5_0201000021:0):0):0):3.351,(10_0102111000:2.9525,((8_0100001012:0,9_0100001012:0):1.635,(14_0100001000:0,15_0100001000:0):1.635):1.3175):0.3985):1.043444444);","((7_0201000021:0,(6_0201000021:0,(4_0201000021:0,5_0201000021:0):0):0):58.97568184,((13_0121201121:0,(11_0121201121:0,12_0121201121:0):0):43.6429628,((8_0100001012:0,9_0100001012:0):27.44423066,(10_0102111000:19.12541899,(14_0100001000:0,15_0100001000:0):19.12541899):8.318811677):16.19873214):15.33271904);"
"18",29,"s15_c8_data",18,20,"(((((1_2122111121:0,2_2122111121:0):49,(3_2102111201:9,4_2122111121:9):40):44,((5_2112111201:0,6_2112111201:0):43,(7_2112111201:2,8_2112111201:2):41):50):54,((9_2112211221:49,(10_2112111221:0,11_2112111221:0):48):46,(12_2112111201:44,13_2112111201:44):51):53):50,(((14_1110001221:7,15_1110001221:7):40,(16_1110001201:7,17_1100001001:7):40):49,((18_1112111221:3,19_2102111000:3):44,20_1112011221:48):49):101);","(((19_2102111000:77.77777778,(3_2102111201:66.66666667,(13_2112111201:55.55555556,(12_2112111201:44.44444444,(8_2112111201:33.33333333,(7_2112111201:22.22222222,(5_2112111201:11.11111111,6_2112111201:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,((4_2122111121:47.40740741,(1_2122111121:23.7037037,2_2122111121:23.7037037)2:23.7037037)1:23.7037037,((18_1112111221:26.66666667,20_1112011221:26.66666667)1:26.66666667,(9_2112211221:35.55555556,(10_2112111221:17.77777778,11_2112111221:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)1:11.11111111,(17_1100001001:75,(16_1110001201:50,(14_1110001221:25,15_1110001221:25)2:25)2:25)2:25)Root;","((17_1100001001:2.391666667,(16_1110001201:1.135,(14_1110001221:0,15_1110001221:0):1.135):1.256666667):1.560208333,(19_2102111000:2.867333333,((4_2122111121:0,(1_2122111121:0,2_2122111121:0):0):2.174166667,((3_2102111201:0.5,(13_2112111201:0,(12_2112111201:0,(8_2112111201:0,(7_2112111201:0,(5_2112111201:0,6_2112111201:0):0):0):0):0):0.5):1.187428571,((18_1112111221:0.5,20_1112011221:0.5):0.5966666667,(9_2112211221:0.635,(10_2112111221:0,11_2112111221:0):0.635):0.4616666667):0.5907619048):0.4867380952):0.6931666667):1.084541667);","((17_1100001001:16.52800282,(16_1110001201:6.60363657,(14_1110001221:0,15_1110001221:0):6.60363657):9.92436625):16.76106842,(19_2102111000:25.27823732,((4_2122111121:0,(1_2122111121:0,2_2122111121:0):0):16.42409113,((18_1112111221:4.8607595,20_1112011221:4.8607595):9.209927041,((3_2102111201:4.8917195,(13_2112111201:0,(12_2112111201:0,(8_2112111201:0,(7_2112111201:0,(5_2112111201:0,6_2112111201:0):0):0):0):0):4.8917195):4.468455663,(9_2112211221:6.173164565,(10_2112111221:0,11_2112111221:0):6.173164565):3.187010598):4.710511377):2.353404592):8.854146186):8.01083392);"
"19",30,"s16_c1_data",19,21,"((1_2100101000:164,(((6_1111101020:9,7_1111001021:9):52,(8_1101001000:10,9_2101111000:10):51):48,((10_1112111002:0,11_2100001000:0):51,(12_1112011001:2,13_2102111000:2):49):58):54):46,((((14_1212011021:16,15_1211101021:16):52,16_2100101000:69):52,((17_0112211021:13,18_0112011021:13):54,(19_2100101221:20,20_1100201221:20):47):53):48,(21_1111001011:110,((23_1111001000:7,24_1111101011:7):43,(25_1111001011:6,26_1111001011:6):44):59):59):41);","((((8_1101001000:35,23_1111001000:35)1:35,((9_2101111000:26.25,13_2102111000:26.25)1:26.25,(11_2100001000:35,(1_2100101000:17.5,16_2100101000:17.5)2:17.5)2:17.5)2:17.5)1:17.5,(((24_1111101011:50,(7_1111001021:37.5,(26_1111001011:25,(21_1111001011:12.5,25_1111001011:12.5)2:12.5)2:12.5)2:12.5)1:12.5,(6_1111101020:31.25,15_1211101021:31.25)2:31.25)1:12.5,((10_1112111002:28.125,12_1112011001:28.125)1:28.125,(14_1212011021:37.5,(17_0112211021:18.75,18_0112011021:18.75)2:18.75)2:18.75)2:18.75)2:12.5)1:12.5,(19_2100101221:50,20_1100201221:50)2:50)Root;","((19_2100101221:1.27,20_1100201221:1.27):2.945789474,(((11_2100001000:0.5,(1_2100101000:0,16_2100101000:0):0.5):0.9841666667,(9_2101111000:0.635,13_2102111000:0.635):0.8491666667):1.981761905,(((8_1101001000:0.5,23_1111001000:0.5):1.255714286,((7_1111001021:0.76,(24_1111101011:0.5,(26_1111001011:0,(21_1111001011:0,25_1111001011:0):0):0.5):0.26):0.7155,(6_1111101020:1.135,15_1211101021:1.135):0.3405):0.2802142857):1.019063492,((10_1112111002:1.135,12_1112011001:1.135):1.324166667,(17_0112211021:1.7025,(14_1212011021:1.135,18_0112011021:1.135):0.5675):0.7566666667):0.3156111111):0.6911507937):0.7498609023);","((14_1212011021:15.56986349,15_1211101021:15.56986349):33.88067652,((19_2100101221:12.08443735,20_1100201221:12.08443735):22.64767543,(((9_2101111000:4.515555485,13_2102111000:4.515555485):9.111579424,(11_2100001000:4.8607595,(1_2100101000:0,16_2100101000:0):4.8607595):8.766375409):17.82231173,(((24_1111101011:5.784395893,(7_1111001021:3.69454557,(26_1111001011:0,(21_1111001011:0,25_1111001011:0):0):3.69454557):2.089850323):9.207693302,(6_1111101020:13.91025582,(8_1101001000:4.8917195,23_1111001000:4.8917195):9.01853632):1.081833375):11.47124165,((17_0112211021:11.03392407,18_0112011021:11.03392407):10.82122004,(10_1112111002:15.0207595,12_1112011001:15.0207595):6.834384602):4.608186746):4.986115792):3.282666141):14.71842722);"
"20",31,"s16_c2_data",20,6,"(1_2100101000:148,((5_2102111021:45,6_2112111021:45):50,(7_2212110021:45,(8_2212110021:0,9_2212110021:0):44):50):53);","(1_2100101000:0.7608206381,((5_2102111021:0.3697738713,6_2112111021:0.3697738713):0.1193077213,(7_2212110021:0.2859521179,(8_2212110021:0.2859521179,9_2212110021:0.2859521179):0):0.2031294747):0.2717390455);","(1_2100101000:4.351,((9_2212110021:0,(7_2212110021:0,8_2212110021:0):0):1.385,(5_2102111021:0.5,6_2112111021:0.5):0.885):2.966);","((9_2212110021:0,(7_2212110021:0,8_2212110021:0):0):49.69876423,(1_2100101000:31.31415581,(5_2102111021:4.8917195,6_2112111021:4.8917195):26.42243631):18.38460842);"
"21",32,"s16_c3_data",21,7,"(((1_2100101000:18,2_2100101000:18):124,(3_1101001100:38,4_2100101000:38):104):60,(10_0102011000:58,(11_1112011021:18,12_1112011021:18):40):142);","((((1_2100101000:0.2900967091,(2_2100101000:0.2900967091,4_2100101000:0.2900967091):0):0.1948942378,3_1101001100:0.4849909469):0.1158624058,10_0102011000:0.6008533527):0.226730265,(11_1112011021:0.2958418027,12_1112011021:0.2958418027):0.531741815);","((3_1101001100:2.135,(4_2100101000:0,(1_2100101000:0,2_2100101000:0):0):2.135):1.94125,(10_0102011000:2.635,(11_1112011021:0,12_1112011021:0):2.635):1.44125);","((3_1101001100:17.51430979,(4_2100101000:0,(1_2100101000:0,2_2100101000:0):0):17.51430979):19.28558475,(10_0102011000:24.14990157,(11_1112011021:0,12_1112011021:0):24.14990157):12.64999297);"
"22",33,"s16_c4_data",22,9,"((1_2100101000:122,((3_2120101100:13,4_2120101100:13):50,(5_2120101120:12,6_2120101121:12):51):58):51,((7_0001200200:21,8_0001200200:21):44,(9_0011200200:20,10_0011200200:20):45):107);","((1_2100101000:0.6196230404,((3_2120101100:0.2925062876,4_2120101100:0.2925062876):0.1514224807,(5_2120101120:0.3466455347,6_2120101121:0.3466455347):0.09728323361):0.175694272):0.1947391046,((7_0001200200:0.2850241619,8_0001200200:0.2850241619):0.03531502575,(9_0011200200:0.2857690833,10_0011200200:0.2857690833):0.03457010441):0.4940229572);","(((7_0001200200:0,8_0001200200:0):0.5,(9_0011200200:0,10_0011200200:0):0.5):4.817,(1_2100101000:2.3275,((3_2120101100:0,4_2120101100:0):1.385,(5_2120101120:0.5,6_2120101121:0.5):0.885):0.9425):2.9895);","(((7_0001200200:0,8_0001200200:0):4.8917195,(9_0011200200:0,10_0011200200:0):4.8917195):62.79945408,(1_2100101000:19.59274355,(6_2120101121:12.40242438,(5_2120101120:6.60363657,(3_2120101100:0,4_2120101100:0):6.60363657):5.79878781):7.19031917):48.09843003);"
"23",34,"s16_c5_data",23,10,"(((1_0220002121:13,2_0220002121:13):54,(3_0220002121:2,4_0220002121:2):65):108,((5_2100101000:60,6_2100101000:60):62,((7_0102211221:3,8_0102211220:3):46,(9_0122211121:4,10_0122211121:4):45):72):54);","(((4_0220002121:60,(3_0220002121:40,(1_0220002121:20,2_0220002121:20)2:20)2:20)1:20,((9_0122211121:26.66666667,10_0122211121:26.66666667)1:26.66666667,(7_0102211221:26.66666667,8_0102211220:26.66666667)2:26.66666667)2:26.66666667)1:20,(5_2100101000:50,6_2100101000:50)2:50)Root;","((5_2100101000:0,6_2100101000:0):6.2375,((4_0220002121:0,(3_0220002121:0,(1_0220002121:0,2_0220002121:0):0):0):5.05,((9_0122211121:0,10_0122211121:0):2.02,(7_0102211221:0.5,8_0102211220:0.5):1.52):3.03):1.1875);","((4_0220002121:0,(3_0220002121:0,(1_0220002121:0,2_0220002121:0):0):0):77.46287832,((5_2100101000:0,6_2100101000:0):54.36967101,((9_0122211121:0,10_0122211121:0):19.1513402,(7_0102211221:8,8_0102211220:8):11.1513402):35.2183308):23.09320731);"
"24",36,"s16_c7_data",24,9,"((((1_2101101201:42,2_0121201121:42):64,(3_2102111000:43,4_2102101000:43):63):64,((5_2100111000:48,6_0100001000:48):54,(7_2100101001:41,8_2100101001:41):61):68):42,9_0200000021:212);","((1_2101101201:0.6714346823,(((3_2102111000:0.3456372601,4_2102101000:0.3456372601):0.189575495,(5_2100111000:0.4127987318,(7_2100101001:0.2914967467,8_2100101001:0.2914967467):0.1213019851):0.1224140233):0.06564059765,6_0100001000:0.6008533527):0.07058132958):0.2042951128,(2_0121201121:0.6506261139,9_0200000021:0.6506261139):0.2251036812);","((6_0100001000:2.7025,(1_2101101201:2.189,((3_2102111000:0.5,4_2102101000:0.5):1.218333333,(5_2100111000:1,(7_2100101001:0,8_2100101001:0):1):0.7183333333):0.4706666667):0.5135):2.308571429,(2_0121201121:4.405,9_0200000021:4.405):0.6060714286);","(9_0200000021:66.68786016,(2_0121201121:46.60437127,(6_0100001000:25.97970002,((1_2101101201:10.78941444,(7_2100101001:0,8_2100101001:0):10.78941444):8.736583141,(5_2100111000:11.16788523,(3_2102111000:6.1935485,4_2102101000:6.1935485):4.974336735):8.358112346):6.453702439):20.62467125):20.08348889);"
"25",37,"s16_c8_data",25,11,"((((1_2102111221:16,2_2102111211:16):46,(3_2102111011:19,4_2102111011:19):43):56,((5_1110001221:10,6_1110001221:10):47,(7_1111201221:1,8_1111201221:1):56):61):56,(9_1122011111:61,(10_1122011111:15,11_1122011111:15):45):114);","(((11_1122011111:50,(9_1122011111:25,10_1122011111:25)2:25)1:25,((3_2102111011:25,4_2102111011:25)1:25,(1_2102111221:25,2_2102111211:25)2:25)2:25)1:25,((5_1110001221:33.33333333,6_1110001221:33.33333333)1:33.33333333,(7_1111201221:33.33333333,8_1111201221:33.33333333)2:33.33333333)2:33.33333333)Root;","(((5_1110001221:0,6_1110001221:0):1.635,(7_1111201221:0,8_1111201221:0):1.635):2.378928571,((11_1122011111:0,(9_1122011111:0,10_1122011111:0):0):2.99625,((3_2102111011:0,4_2102111011:0):1.4525,(1_2102111221:0.635,2_2102111211:0.635):0.8175):1.54375):1.017678571);","(((5_1110001221:0,6_1110001221:0):14.58947957,(7_1111201221:0,8_1111201221:0):14.58947957):19.21805314,((11_1122011111:0,(9_1122011111:0,10_1122011111:0):0):26.41680141,((3_2102111011:0,4_2102111011:0):9.081131725,(1_2102111221:3.69454557,2_2102111211:3.69454557):5.386586155):17.33566969):7.390731291);"
"26",39,"s17_c1_data",26,20,"((((1_2101001000:34,2_1111001000:34):90,((3_2102101000:26,4_2111101021:26):53,(5_1112011020:32,6_2102111221:32):47):45):42,(((7_1102211001:22,8_1112211200:22):54,9_0102211000:76):43,((10_1101001201:16,11_1111001201:16):59,(12_2100101020:26,13_2011102221:26):49):44):47):45,((14_1100001000:100,(15_1112011021:48,16_0102011021:48):52):67,((17_2102111000:43,18_1111001010:43):67,(19_1110201021:46,20_1102011221:46):64):57):45);","((((5_1112011020:27.77777778,15_1112011021:27.77777778)1:27.77777778,(16_0102011021:27.77777778,20_1102011221:27.77777778)2:27.77777778)1:27.77777778,(((3_2102101000:25,17_2102111000:25)1:25,(8_1112211200:33.33333333,(7_1102211001:16.66666667,9_0102211000:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((10_1101001201:25,11_1111001201:25)1:25,((2_1111001000:16.66666667,18_1111001010:16.66666667)1:16.66666667,(1_2101001000:16.66666667,14_1100001000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((19_1110201021:50,(4_2111101021:25,12_2100101020:25)2:25)1:25,(6_2102111221:37.5,13_2011102221:37.5)2:37.5)2:25)Root;","((13_2011102221:3.36,(19_1110201021:2.02,(4_2111101021:1.5,12_2100101020:1.5):0.52):1.34):0.5990625,(((6_2102111221:1.135,20_1102011221:1.135):1.234166667,(16_0102011021:1.25,(5_1112011020:0.5,15_1112011021:0.5):0.75):1.119166667):1.268560606,(((10_1101001201:0.5,11_1111001201:0.5):1.79375,((2_1111001000:0.5,18_1111001010:0.5):0.8175,(1_2101001000:1.135,14_1100001000:1.135):0.1825):0.97625):1.068083333,(8_1112211200:2.645,((3_2102101000:0.5,17_2102111000:0.5):1.52,(7_1102211001:1,9_0102211000:1):1.02):0.625):0.7168333333):0.2758939394):0.3213352273);","(13_2011102221:63.98670996,(((4_2111101021:15.63999285,19_1110201021:15.63999285):13.74969834,((10_1101001201:4.8917195,11_1111001201:4.8917195):22.79883743,(((2_1111001000:2.909091,18_1111001010:2.909091):8.170588142,(1_2101001000:9.466828285,14_1100001000:9.466828285):1.612850857):9.660399085,(12_2100101020:17.7715218,(3_2102101000:6.1935485,17_2102111000:6.1935485):11.5779733):2.968556422):6.950478703):1.699134263):3.023834933,((8_1112211200:18.45285119,(7_1102211001:12.6545455,9_0102211000:12.6545455):5.79830569):11.71523357,((6_2102111221:10.77203229,20_1102011221:10.77203229):9.327170964,(16_0102011021:13.546265,(5_1112011020:8,15_1112011021:8):5.546265):6.552938249):10.06888151):2.245441362):31.57318383);"
"27",40,"s18_c1_data",27,15,"((((1_0111001211:21,2_0111001211:21):59,(3_0112011000:6,4_2102011000:6):74):58,((5_1111001201:16,6_1111001201:16):63,(7_1111001201:15,8_1111001201:15):64):59):50,(((9_1110201001:25,10_1111201001:25):54,(11_0112211001:30,12_0101201001:30):49):51,(14_1110001211:82,(15_0111001211:34,16_2100101000:34):48):48):58);","(((8_1111001201:60,(7_1111001201:40,(5_1111001201:20,6_1111001201:20)2:20)2:20)1:20,(14_1110001211:60,(15_0111001211:40,(1_0111001211:20,2_0111001211:20)2:20)2:20)2:20)1:20,(((9_1110201001:25,10_1111201001:25)1:25,(12_0101201001:25,11_0112211001:25)2:25)1:25,(16_2100101000:50,(3_0112011000:25,4_2102011000:25)2:25)2:25)2:25)Root;","((14_1110001211:1,((15_0111001211:0,(1_0111001211:0,2_0111001211:0):0):1,(8_1111001201:0,(7_1111001201:0,(5_1111001201:0,6_1111001201:0):0):0):1):0):2.612142857,((11_0112211001:1.801666667,(12_0101201001:1.25,(9_1110201001:0.5,10_1111201001:0.5):0.75):0.5516666667):1.502083333,(16_2100101000:2.9525,(3_0112011000:1.635,4_2102011000:1.635):1.3175):0.35125):0.3083928571);","((16_2100101000:26.85418788,(3_0112011000:15.45753778,4_2102011000:15.45753778):11.39665009):8.644877979,(((15_0111001211:0,(1_0111001211:0,2_0111001211:0):0):7.6929294,(14_1110001211:6.4646465,(8_1111001201:0,(7_1111001201:0,(5_1111001201:0,6_1111001201:0):0):0):6.4646465):1.2282829):19.36798882,(11_0112211001:16.62789265,(12_0101201001:11.32404275,(9_1110201001:3.5555555,10_1111201001:3.5555555):7.76848725):5.303849902):10.43302557):8.438147637);"
