fileNumber,fileName,dreamID,nCells,ground,rec
28,s15_c7_data,11,29,"(((((1_1111101001:20,2_1111001011:20):47,(3_1111001011:13,4_1111001011:13):54):51,((5_1111101000:22,6_1111001011:22):39,(7_1111101011:15,8_1111001011:15):46):57):43,(((9_1111001011:9,10_1111001000:9):54,(11_1111101001:14,12_1111001011:14):49):46,(14_1111001001:63,(15_1101001000:22,16_2100101000:22):41):46):52):50,((17_1110001011:124,((18_1101001211:31,19_1111001011:31):49,(20_1111001200:38,21_1111001200:38):42):42):48,((((22_1111001211:1,23_1111001211:1):42,24_1111001211:44):39,(25_2101101000:39,26_1111001211:39):44):46,((27_1111001011:42,28_2100001000:42):41,(29_2100001000:36,30_1111001011:36):47):46):41):41);","((((20_1111001200:35.55555556,21_1111001200:35.55555556)1:35.55555556,(18_1101001211:53.33333333,((22_1111001211:17.77777778,23_1111001211:17.77777778)1:17.77777778,(24_1111001211:17.77777778,26_1111001211:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)1:17.77777778,((17_1110001011:66.66666667,((27_1111001011:27.77777778,30_1111001011:27.77777778)1:27.77777778,((12_1111001011:22.22222222,19_1111001011:22.22222222)1:22.22222222,((8_1111001011:16.66666667,9_1111001011:16.66666667)1:16.66666667,((2_1111001011:11.11111111,3_1111001011:11.11111111)1:11.11111111,(4_1111001011:11.11111111,6_1111001011:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,(7_1111101011:58.33333333,(14_1111001001:38.88888889,(1_1111101001:19.44444444,11_1111101001:19.44444444)2:19.44444444)2:19.44444444)2:19.44444444)2:11.11111111)1:11.11111111,((5_1111101000:50,(10_1111001000:25,15_1101001000:25)2:25)1:25,((28_2100001000:25,29_2100001000:25)1:25,(16_2100101000:25,25_2101101000:25)2:25)2:25)2:25)Root;"
35,s16_c6_data,12,20,"((((1_2100101000:38,3_2100101000:38):43,(6_2100101000:37,7_2100101000:38):44):55,(((8_0002010221:2,9_0002010221:2):38,10_0002010221:41):46,((11_0002010220:4,12_0102010221:4):35,(13_0002010221:2,14_0002010221:2):37):47):50):51,(((15_0012012201:34,16_0012012201:34):45,(17_0012012201:37,18_0112011201:36):42):56,((20_0022012101:12,21_0022012101:12):74,((22_0012012201:7,23_0012012201:7):32,24_0012012201:39):46):49):53);","((7_2100101000:75,(6_2100101000:50,(1_2100101000:25,3_2100101000:25)2:25)2:25)1:25,((12_0102010221:76.19047619,(11_0002010220:63.49206349,(14_0002010221:50.79365079,(13_0002010221:38.0952381,(10_0002010221:25.3968254,(8_0002010221:12.6984127,9_0002010221:12.6984127)2:12.6984127)2:12.6984127)2:12.6984127)2:12.6984127)2:12.6984127)1:12.6984127,((20_0022012101:38.88888889,21_0022012101:38.88888889)1:38.88888889,(18_0112011201:66.66666667,(24_0012012201:55.55555556,(23_0012012201:44.44444444,(22_0012012201:33.33333333,(17_0012012201:22.22222222,(15_0012012201:11.11111111,16_0012012201:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)Root;"
38,s16_c9_data,13,4,"((1_2212110021:30,2_2212110021:30):63,(3_2222111121:33,4_2102111021:33):60);","(((1_2212110021:0.2859521179,2_2212110021:0.2859521179):0.154020971,3_2222111121:0.439973089):0.100072996,4_2102111021:0.540046085);"
41,s18_c2_data,14,21,"((((1_2112111221:19,2_2112111221:19):55,(3_2102111000:15,4_2102111221:15):59):101,(((5_0102011000:30,6_0112011011:30):52,(7_2102111200:35,8_2102111221:35):47):48,((9_2122111111:37,10_2102111211:37):47,(11_2102111000:40,12_2112111211:40):44):46):45):36,(((13_1000002221:75,(14_1000000221:24,15_1000000221:24):50):48,(16_1000000021:9,17_1100000021:9):113):50,((18_1100001000:30,19_2100101000:30):42,(20_1110001211:34,21_1110001211:34):38):100):39);","(((9_2122111111:66.66666667,((10_2102111211:25,12_2112111211:25)1:25,((4_2102111221:16.66666667,8_2102111221:16.66666667)1:16.66666667,(1_2112111221:16.66666667,2_2112111221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((20_1110001211:33.33333333,21_1110001211:33.33333333)1:33.33333333,((16_1000000021:25,17_1100000021:25)1:25,(13_1000002221:33.33333333,(14_1000000221:16.66666667,15_1000000221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((5_0102011000:40,6_0112011011:40)1:40,((18_1100001000:30,19_2100101000:30)1:30,(7_2102111200:40,(3_2102111000:20,11_2102111000:20)2:20)2:20)2:20)2:20)Root;"
44,s19_c3_data,15,7,"(2_1111101001:194,((3_0111001221:88,(5_2111101011:38,6_1111001011:38):50):56,((7_1112201201:35,8_1111101000:35):52,9_1101001001:87):57):49);","(((((2_1111101001:0.3645579567,8_1111101000:0.3645579567):0.1036233042,9_1101001001:0.468181261):0.05998349473,(5_2111101011:0.4149398211,6_1111001011:0.4149398211):0.1132249346):0.1309056365,7_1112201201:0.6590703922):0.04012721352,3_0111001221:0.6991976057);"
47,s2_c10_data,16,12,"(((((1_0220010221:6,2_0220010221:6):43,(3_0220010221:8,4_0220010221:8):41):44,(5_0020010221:5,6_0020010221:5):88):49,((9_0100000020:38,10_0100000020:38):53,11_0100000020:92):52):46,(13_2122110000:85,(14_2122112200:36,15_2122112200:36):49):104);","(((11_0100000020:55.55555556,(9_0100000020:27.77777778,10_0100000020:27.77777778)2:27.77777778)1:27.77777778,((4_0220010221:50,(3_0220010221:33.33333333,(1_0220010221:16.66666667,2_0220010221:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(5_0020010221:33.33333333,6_0020010221:33.33333333)2:33.33333333)2:16.66666667)1:16.66666667,(13_2122110000:66.66666667,(14_2122112200:33.33333333,15_2122112200:33.33333333)2:33.33333333)2:33.33333333)Root;"
48,s2_c2_data,17,13,"((((1_1112210221:33,2_1112210221:33):48,(3_1102210221:28,4_2112210221:28):53):50,(7_1000000221:31,8_1000000221:31):100):51,(((9_2122011221:35,10_2122011221:35):43,(11_2022011221:29,12_2122011221:29):49):50,(13_2122011221:64,(15_2100111221:18,16_2100111221:18):46):64):54);","(((3_1102210221:62.5,(4_2112210221:41.66666667,(1_1112210221:20.83333333,2_1112210221:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,(11_2022011221:66.66666667,(13_2122011221:50,(12_2122011221:33.33333333,(9_2122011221:16.66666667,10_2122011221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((7_1000000221:33.33333333,8_1000000221:33.33333333)1:33.33333333,(15_2100111221:33.33333333,16_2100111221:33.33333333)2:33.33333333)2:33.33333333)Root;"
49,s2_c4_data,18,10,"(((1_2122212001:33,2_2122211221:33):55,4_2122210001:88):113,((5_2111212021:88,(7_2112211021:23,8_2112211021:23):65):58,((9_2112211001:47,10_2112111001:47):48,(11_2111112021:48,13_2111211021:47):47):51):55);","((((9_2112211001:26.66666667,10_2112111001:26.66666667)1:26.66666667,(1_2122212001:26.66666667,4_2122210001:26.66666667)2:26.66666667)1:26.66666667,((5_2111212021:30,11_2111112021:30)1:30,(13_2111211021:40,(7_2112211021:20,8_2112211021:20)2:20)2:20)2:20)1:20,2_2122211221:100)Root;"
62,s21_c3_data,19,11,"((3_1111001001:138,(5_2112111011:84,(7_1111101011:32,8_1111001011:32):52):54):48,(((9_2112111211:29,10_1111001001:29):67,(11_0112011012:24,12_1112011012:24):72):51,((13_1111201001:36,14_1122111121:36):60,16_2100101000:96):51):39);","(((13_1111201001:60,((3_1111001001:20,10_1111001001:20)1:20,(8_1111001011:20,7_1111101011:20)2:20)2:20)1:20,((11_0112011012:30,12_1112011012:30)1:30,(14_1122111121:40,(5_2112111011:20,9_2112111211:20)2:20)2:20)2:20)1:20,16_2100101000:100)Root;"
72,s4_c5_data,20,9,"(4_1111111111:211,(((15_0112012201:17,16_0110012201:17):44,(17_0120012201:27,18_0120012201:27):34):49,((19_2220212201:13,20_2220212201:13):43,(21_2120212201:23,22_2120212201:23):33):54):101);","(4_1111111111:0.6958110206,((15_0112012201:0.4476552,(16_0110012201:0.3434958278,(17_0120012201:0.2828900352,18_0120012201:0.2828900352):0.06060579266):0.1041593722):0.2315829877,((19_2220212201:0.281184499,20_2220212201:0.281184499):0.06104984766,(21_2120212201:0.283800058,22_2120212201:0.283800058):0.05843428859):0.3370038411):0.01657283284);"
73,s4_c6_data,21,15,"((((1_0222212201:15,2_0222212201:15):48,(3_0222212201:10,4_0222212201:10):53):43,((5_0222002201:16,6_0222002201:16):46,(7_0222002201:22,8_0222002201:22):40):44):44,((9_0122212201:53,(10_0122212201:9,11_0122212201:9):43):49,((12_0122212201:2,13_0122212201:2):50,(14_0122012201:7,15_0122212201:7):45):49):49);","(((4_0222212201:60,(3_0222212201:40,(1_0222212201:20,2_0222212201:20)2:20)2:20)1:20,((11_0122212201:40,(9_0122212201:20,10_0122212201:20)2:20)1:20,(15_0122212201:40,(12_0122212201:20,13_0122212201:20)2:20)2:20)2:20)1:20,(14_0122012201:80,(8_0222002201:60,(7_0222002201:40,(5_0222002201:20,6_0222002201:20)2:20)2:20)2:20)2:20)Root;"
82,s5_c4_data,22,9,"(((1_0102010021:40,(2_0102010021:2,3_0102010021:2):37):45,(4_0202010021:32,(5_0202010021:0,6_0202010021:0):31):53):113,((13_2102011001:23,14_2102011001:23):52,16_2112012001:75):123);","(((1_0102010021:0.2850247656,(2_0102010021:0.2850247656,3_0102010021:0.2850247656):0):0.06036253755,(4_0202010021:0.2820593873,(5_0202010021:0.2820593873,6_0202010021:0.2820593873):0):0.06332791586):0.358472219,((13_2102011001:0.290136005,14_2102011001:0.290136005):0.1364244285,16_2112012001:0.4265604335):0.2772990887);"
83,s5_c5_data,23,14,"(((1_2112212011:37,2_2112212011:37):88,((3_0112111201:30,4_2112111221:30):43,(5_1111111201:32,6_1111111221:32):41):52):52,(((7_0112211221:1,8_0112211221:1):85,(10_2112211221:34,11_2112211221:34):53):46,((12_1211212000:38,(13_1211212000:2,14_1211212201:2):35):46,15_2112212221:83):49):44);","(((1_2112212011:37.5,2_2112212011:37.5)1:37.5,(14_1211212201:50,(12_1211212000:25,13_1211212000:25)2:25)2:25)1:25,((3_0112111201:55.55555556,(5_1111111201:27.77777778,6_1111111221:27.77777778)2:27.77777778)1:27.77777778,((7_0112211221:33.33333333,8_0112211221:33.33333333)1:33.33333333,(4_2112111221:50,(15_2112212221:33.33333333,(10_2112211221:16.66666667,11_2112211221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
90,s7_c1_data,24,18,"(((((1_2120000221:18,2_2120000221:18):38,(3_2102002221:19,4_2102002221:19):37):51,((5_2112210221:29,6_2110001221:29):35,(7_2112211221:26,8_2112211221:26):38):43):45,(((9_0122210201:16,10_0122211201:16):42,(11_0122211000:22,12_0122212000:22):36):50,((13_0122212221:31,14_0122210221:31):39,(15_0122211200:28,16_0122211200:28):42):38):44):55,(17_2111111011:93,20_1111111111:93):115);","(((3_2102002221:37.5,4_2102002221:37.5)1:37.5,(6_2110001221:50,(1_2120000221:25,2_2120000221:25)2:25)2:25)1:25,(((13_0122212221:33.33333333,14_0122210221:33.33333333)1:33.33333333,((11_0122211000:25,12_0122212000:25)1:25,((15_0122211200:16.66666667,16_0122211200:16.66666667)1:16.66666667,(9_0122210201:16.66666667,10_0122211201:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((5_2112210221:41.66666667,(7_2112211221:20.83333333,8_2112211221:20.83333333)2:20.83333333)1:20.83333333,(17_2111111011:31.25,20_1111111111:31.25)2:31.25)2:20.83333333)2:16.66666667)Root;"
92,s7_c3_data,25,27,"((1_2111111121:40,2_2111111121:40):171,(((((3_0112112221:20,4_0112111221:20):31,(5_0110112221:18,6_0110112221:18):33):40,((7_0112111221:8,8_0112111221:8):40,(9_2112111121:4,10_0112111121:4):44):43):44,(((11_0111111121:13,12_0111111121:13):35,(13_0111111101:15,14_0111111121:15):33):45,((15_0111111121:15,16_0111111121:15):36,(17_0111111121:12,19_0111111121:12):39):42):42):38,(((21_1111111111:53,22_1111111111:53):35,((23_1111111111:14,26_1111111111:14):36,28_1111111111:50):38):44,((31_2111111111:40,32_2111111111:40):41,(33_1111111111:15,34_1111111111:15):66):51):41):37);","(((13_0111111101:78.75,(19_0111111121:67.5,(17_0111111121:56.25,(16_0111111121:45,(15_0111111121:33.75,(14_0111111121:22.5,(11_0111111121:11.25,12_0111111121:11.25)2:11.25)2:11.25)2:11.25)2:11.25)2:11.25)2:11.25)1:11.25,((9_2112111121:53.33333333,(1_2111111121:26.66666667,2_2111111121:26.66666667)2:26.66666667)1:26.66666667,((31_2111111111:35,32_2111111111:35)1:35,(34_1111111111:60,(33_1111111111:50,(28_1111111111:40,(26_1111111111:30,(23_1111111111:20,(21_1111111111:10,22_1111111111:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,((5_0110112221:41.66666667,6_0110112221:41.66666667)1:41.66666667,(3_0112112221:66.66666667,(10_0112111121:50,(8_0112111221:33.33333333,(4_0112111221:16.66666667,7_0112111221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
94,s7_c6_data,26,4,"(((1_0000002201:62,2_0000001221:62):91,4_1112110011:153):60,5_1111110101:213);","((1_0000002201:0.4109351124,2_0000001221:0.4109351124):0.4431709982,(4_1112110011:0.4565076403,5_1111110101:0.4565076403):0.3975984703);"
96,s8_c2_data,27,6,"(((1_0122011200:38,2_0122011200:38):56,(3_2122012200:33,4_2122012200:33):61):111,(9_0100111201:24,10_0100111201:24):181);","(((1_0122011200:0.284945406,2_0122011200:0.284945406):0.148235027,(3_2122012200:0.2849190588,4_2122012200:0.2849190588):0.1482613741):0.348613536,(9_0100111201:0.289238907,10_0100111201:0.289238907):0.4925550619);"
99,s8_c5_data,28,23,"((3_0110211021:123,((5_2110111101:41,(6_2110111101:4,7_2110111101:4):36):38,(8_2111111111:37,(9_2111011121:1,10_2111011121:1):35):42):44):88,((((18_1110111211:30,19_1110111211:30):43,(20_2110111121:33,21_1110112121:33):40):50,((22_2112111111:19,23_1112011211:19):49,(24_2112011201:21,25_2112011201:21):47):55):50,((26_2110111121:36,27_2110111121:36):90,(((30_0110011221:0,31_0110011221:0):37,(32_0110111221:4,33_0110111221:4):33):37,(34_2112011101:32,35_2112012101:32):43):51):47):38);","(((21_1110112121:53.33333333,(18_1110111211:26.66666667,19_1110111211:26.66666667)2:26.66666667)1:26.66666667,(3_0110211021:60,((30_0110011221:20,31_0110011221:20)1:20,(32_0110111221:20,33_0110111221:20)2:20)2:20)2:20)1:20,((23_1112011211:62.5,((24_2112011201:20.83333333,25_2112011201:20.83333333)1:20.83333333,(34_2112011101:20.83333333,35_2112012101:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((7_2110111101:44.44444444,(5_2110111101:22.22222222,6_2110111101:22.22222222)2:22.22222222)1:22.22222222,((27_2110111121:33.33333333,(20_2110111121:16.66666667,26_2110111121:16.66666667)2:16.66666667)1:16.66666667,((9_2111011121:16.66666667,10_2111011121:16.66666667)1:16.66666667,(8_2111111111:16.66666667,22_2112111111:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
100,s8_c6_data,29,29,"(((((1_2100101000:11,2_2112111111:11):33,(3_2111111011:10,4_2111111111:10):34):45,((5_1110011201:3,6_1110011201:3):40,(7_1100111211:4,8_1100111211:4):39):46):46,(((9_1111110121:7,10_1111110121:7):37,(11_1111110121:9,12_1111110121:9):35):42,((13_1111110221:5,14_1111110221:5):36,16_1111111211:41):45):49):44,((((17_2101221221:12,18_2121221221:12):36,20_2121221011:48):42,(21_1100011201:47,(23_1102012221:15,24_1102012221:15):32):43):47,(((25_2120011021:18,26_2120011021:18):33,(27_2120011021:11,28_2120011021:11):40):40,((29_0110211021:13,30_0110211021:13):39,(31_0110211021:14,32_0110211021:14):38):39):46):42);","(1_2100101000:100,(((28_2120011021:52.5,(27_2120011021:35,(25_2120011021:17.5,26_2120011021:17.5)2:17.5)2:17.5)1:17.5,(32_0110211021:52.5,(31_0110211021:35,(29_0110211021:17.5,30_0110211021:17.5)2:17.5)2:17.5)2:17.5)1:17.5,(((23_1102012221:30,24_1102012221:30)1:30,((21_1100011201:30,(5_1110011201:15,6_1110011201:15)2:15)1:15,(16_1111111211:30,(7_1100111211:15,8_1100111211:15)2:15)2:15)2:15)1:15,(((13_1111110221:25,14_1111110221:25)1:25,(12_1111110121:37.5,(11_1111110121:25,(9_1111110121:12.5,10_1111110121:12.5)2:12.5)2:12.5)2:12.5)1:12.5,((3_2111111011:31.25,(2_2112111111:15.625,4_2111111111:15.625)2:15.625)1:15.625,(20_2121221011:31.25,(17_2101221221:15.625,18_2121221221:15.625)2:15.625)2:15.625)2:15.625)2:12.5)2:12.5)2:12.5)Root;"
102,s9_c2_data,30,15,"((((1_2111112001:37,2_1111011101:37):53,3_0101210021:90):57,(((5_1111102001:11,6_1111110121:11):35,(7_1111111111:2,8_1111111111:2):44):49,(9_1101000011:48,11_1111111111:48):47):51):57,((13_1110111221:80,(15_1111111211:0,16_1111111211:0):80):61,((17_0100212221:22,18_0100212000:22):61,19_0110211221:83):58):63);","((((6_1111110121:35.71428571,13_1110111221:35.71428571)1:35.71428571,(2_1111011101:57.14285714,((15_1111111211:21.42857143,16_1111111211:21.42857143)1:21.42857143,(11_1111111111:28.57142857,(7_1111111111:14.28571429,8_1111111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(9_1101000011:57.14285714,(1_2111112001:28.57142857,5_1111102001:28.57142857)2:28.57142857)2:28.57142857)1:14.28571429,((17_0100212221:33.33333333,19_0110211221:33.33333333)1:33.33333333,(3_0101210021:33.33333333,18_0100212000:33.33333333)2:33.33333333)2:33.33333333)Root;"
1,s1_c1_data,1,9,"((((1_2012212021:8,2_2112212021:8):38,(3_2112212021:4,4_2112212021:4):42):42,(5_0012212221:1,6_0012012221:1):87):46,((8_2120010021:22,9_2120010021:22):51,10_0112212221:74):62);","(((1_2012212021:0.352885614,(2_2112212021:0.2878748513,(3_2112212021:0.2878748513,4_2112212021:0.2878748513):0):0.06501076267):0.3028150686,((5_0012212221:0.3476539115,10_0112212221:0.3476539115):0.1021496084,6_0012012221:0.4498035199):0.2058971627):0.2292344581,(8_2120010021:0.2839299162,9_2120010021:0.2839299162):0.6010052244);"
3,s10_c1_data,2,12,"(((1_1112212001:35,2_1112212001:35):47,(3_1112212001:30,4_1112212001:30):52):107,(((5_1102000001:23,6_2100012001:23):57,(7_1111111021:22,8_1111111021:22):58):65,((9_1111111121:22,10_1111111121:22):55,(11_1111111121:17,12_1111111121:17):60):68):44);","(((4_1112212001:62.5,(3_1112212001:41.66666667,(1_1112212001:20.83333333,2_1112212001:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((7_1111111021:33.33333333,8_1111111021:33.33333333)1:33.33333333,(12_1111111121:50,(11_1111111121:33.33333333,(9_1111111121:16.66666667,10_1111111121:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(5_1102000001:50,6_2100012001:50)2:50)Root;"
6,s10_c4_data,3,10,"(((1_2120211221:39,2_2120212221:39):49,(3_2110100021:44,4_2110100021:44):44):68,(((5_1110112221:4,6_1110112221:4):37,(7_1110111221:4,8_1110111221:4):37):48,(9_0111111221:39,10_1111111221:39):51):66);","(((1_2120211221:40,2_2120212221:40)1:40,((9_0111111221:30,10_1111111221:30)1:30,((5_1110112221:20,6_1110112221:20)1:20,(7_1110111221:20,8_1110111221:20)2:20)2:20)2:20)1:20,(3_2110100021:50,4_2110100021:50)2:50)Root;"
